NAME: vrp_n400_cl5_dyn75_r1.csv
COMMENT: MGBW+ instance set
DIMENSION: 2
N_NODES: 398
N_CLUSTERS: 5
N_DEPOTS: 2
LOWER: 0
UPPER: 800
DATA_SECTION
x1,x2,types,membership,arrival.time
216.96,195.13,depot,0,0
741.27,384.31,depot,0,0
314.88,656.02,node,1,0
347.48,642.66,node,1,0
345.35,651.28,node,1,261.16
311.36,669.48,node,1,1774.09
343.11,677.7,node,1,456.99
340.99,659.01,node,1,1363.16
355.33,652.92,node,1,0
330.51,654.57,node,1,2111.83
343.35,653.88,node,1,1588.2
341.9,637.51,node,1,0.01
319.79,664.21,node,1,0
334.82,648.88,node,1,1986.92
353.33,672.33,node,1,1040.61
333.16,664.23,node,1,239.96
327.7,678.48,node,1,2751.54
337.55,628.77,node,1,1864.9
332.32,658.91,node,1,0
316.11,653.97,node,1,16.03
358.34,698.84,node,1,2252.39
348.66,652.81,node,1,43.12
347.16,670.5,node,1,677.14
358.98,649.64,node,1,752.41
345.53,700.14,node,1,549.45
299.36,673.24,node,1,0
352.25,667.23,node,1,1946.59
340.7,648.02,node,1,353.87
320.47,643.84,node,1,2755.73
305.27,666.36,node,1,0
333.54,659.22,node,1,326.86
334.25,653.28,node,1,0
359.17,665.2,node,1,692.04
331.51,643.3,node,1,2539.05
316.66,648.09,node,1,1366.77
339.09,673.83,node,1,2373.91
323.08,646.69,node,1,580.44
320.54,642.93,node,1,981.27
333.52,678.59,node,1,1982.22
291.56,658.45,node,1,982.26
352.08,647.49,node,1,0
330.16,671.95,node,1,678.64
337.47,664.78,node,1,2362.99
296.5,653.32,node,1,178.85
328.92,676.06,node,1,2091.55
336.75,671.38,node,1,1478.49
345.03,637.28,node,1,0
340.2,667.52,node,1,14.83
311.9,627.43,node,1,363.4
335.6,666.74,node,1,0
321.14,675.5,node,1,2396.39
310.69,689.6,node,1,1108.9
341.33,682.7,node,1,943.05
344.44,665.01,node,1,0
337.89,679.54,node,1,691.93
349.05,663.57,node,1,565.71
363.52,643.4,node,1,1418.98
311.69,697.66,node,1,1172.32
319.57,684.26,node,1,1422.06
344.52,653.04,node,1,1891.62
332.05,653.46,node,1,0
333.35,652.01,node,1,406.97
315.23,670.3,node,1,119.48
327.29,656.8,node,1,0
326.44,665.03,node,1,0
316.69,664.8,node,1,0
323.81,656.17,node,1,1797.4
324.2,660.58,node,1,2458.98
338.63,646.35,node,1,950.8
323.01,657.68,node,1,274.63
307.15,657.82,node,1,1733.63
357.35,654.08,node,1,0
331.22,642.67,node,1,990.78
326.68,667.67,node,1,0
343.97,662.13,node,1,1028.21
328.21,641.5,node,1,1570.55
331.62,664.46,node,1,0
325.98,674.31,node,1,2334.08
335.39,644.94,node,1,0
326.19,649.92,node,1,2488.51
312.25,642.17,node,1,0
211.39,183.36,node,2,2329.05
219.31,164.88,node,2,986.28
195.32,216.86,node,2,1768.67
211.28,199.22,node,2,597.07
229.63,193.99,node,2,553.34
236.43,208.08,node,2,1434.38
249.36,209.37,node,2,0
247.54,195.64,node,2,1388.22
198.61,212.15,node,2,2647.16
212.11,202.77,node,2,1673.01
244.58,207.79,node,2,2233.14
193.22,219.05,node,2,1721.99
228.64,193.5,node,2,1029.57
206.32,194.53,node,2,2050.6
196.44,159.64,node,2,2312.97
204.59,194.58,node,2,2478.02
197.52,159.71,node,2,1425.66
226.27,182.77,node,2,2455.05
217.69,156.97,node,2,0
229.57,180.62,node,2,2278.75
236.03,196.18,node,2,1436.1
220.32,199.84,node,2,0
215.27,205.44,node,2,0
247.28,200.04,node,2,2475.05
214.92,191.77,node,2,2272.95
198.05,197.91,node,2,2757.5
194.63,177.82,node,2,1436.91
239.36,170.82,node,2,2142.12
250.72,206.25,node,2,2466.88
244.92,202.3,node,2,1876.07
213.98,221.9,node,2,1568.61
217.28,188.46,node,2,759.04
207.77,186.49,node,2,302.49
224.07,201.39,node,2,354.5
217.98,166.21,node,2,2490.3
199.26,159.25,node,2,0
197.62,224.42,node,2,0
241.07,183.64,node,2,1436.14
236.72,192.96,node,2,1283.03
214.1,211.82,node,2,2813.59
214.91,214.28,node,2,1091.2
221.6,179.56,node,2,1813.82
223.39,194.55,node,2,146.36
208.78,191.86,node,2,2470.51
217.11,205.08,node,2,2220.41
218.08,198.44,node,2,2156.17
196.76,192.16,node,2,34.07
215.26,189.42,node,2,1491.8
210.57,195.3,node,2,297.67
216.99,202.66,node,2,2063.12
239.76,191.66,node,2,1994.64
212.75,228.58,node,2,2777.14
210.48,186.35,node,2,2425.9
225.06,192.94,node,2,0
224.57,207.39,node,2,1602.3
261.26,214.61,node,2,172.04
231.89,199.99,node,2,1655.77
210.65,195.93,node,2,679.58
200.62,208.01,node,2,2525.98
226.96,215.49,node,2,356.05
201.1,190.99,node,2,30.76
201.53,191.8,node,2,1289.37
220.32,208.29,node,2,0
221.7,185.31,node,2,1595.73
215.54,179.9,node,2,1291.49
223.41,204.17,node,2,0
197.12,207.25,node,2,0
231.77,205.46,node,2,50.26
230.87,180.2,node,2,2627.59
202.81,216.14,node,2,251.4
228.49,190.29,node,2,1590.76
226.44,223.84,node,2,2437.81
219.94,188.74,node,2,0
207.74,176.88,node,2,1955.49
220.21,203.22,node,2,0
219.68,200.72,node,2,0
214.56,202.59,node,2,1970.42
203.84,191.62,node,2,0
216.33,216.08,node,2,0
184.33,231.15,node,2,1201.99
205.86,212.23,node,2,288.31
212.75,190.59,node,2,2356.83
739.1,343.7,node,3,344.45
789.2,388.61,node,3,764.63
752.43,374.41,node,3,0
729.23,406.87,node,3,0
754.43,402.95,node,3,886.88
736.01,362.06,node,3,2629.65
731.14,412.03,node,3,891.46
715.11,413.79,node,3,1887.89
733.09,358.2,node,3,0
722.31,390.14,node,3,682.79
736.49,341.14,node,3,2516.18
735.13,410.49,node,3,2683.09
735.56,410.14,node,3,612.16
729.88,396.65,node,3,2273.77
735.47,399.44,node,3,49.83
710.46,387.71,node,3,1714.09
763.87,370.24,node,3,565.51
768.88,377.57,node,3,1751.78
731.9,365.83,node,3,106.84
750.74,365.87,node,3,585.31
717.72,380.09,node,3,1161.72
712.22,369.53,node,3,0
773.76,385.1,node,3,1150.47
755.54,357.29,node,3,2291.67
705,400.3,node,3,2307.48
742.9,411.34,node,3,0
758.65,347.29,node,3,1181.37
761.31,367.35,node,3,1975.32
739.81,388.65,node,3,1515.44
729.89,371.53,node,3,0
741.46,388.81,node,3,178.12
714.65,413.84,node,3,374.27
763.71,378.8,node,3,0
713.06,401.39,node,3,1331.45
774.89,365.69,node,3,2424.04
743.97,360.04,node,3,1118.68
732.93,394.79,node,3,0
717.11,366.04,node,3,424.6
735.38,375.27,node,3,0
741.56,382.37,node,3,1288.44
708.54,362.99,node,3,1469.47
743.71,392.11,node,3,2825.83
765.42,394.09,node,3,599.15
740.86,394.41,node,3,571.67
722.96,346.23,node,3,13.84
737.2,379.41,node,3,18.14
727.58,346.91,node,3,944.7
718.5,409.18,node,3,0
722.68,383.94,node,3,1121.37
735.58,412.42,node,3,2768.18
743.67,418.09,node,3,1585.44
758.68,358.53,node,3,0
743.07,391.95,node,3,1745.31
730.74,377.88,node,3,0
741.73,352.19,node,3,0
705.61,372.34,node,3,949.13
748.54,403.12,node,3,155.68
700.85,380.71,node,3,922.33
726.06,374.41,node,3,1242.2
757.78,417.88,node,3,1054.85
735.76,385.12,node,3,1743.24
712.11,430.21,node,3,1379.73
740.74,396.16,node,3,2030.19
748.95,363.33,node,3,388.01
744,362.38,node,3,2685.57
742.92,389.47,node,3,934.56
725.1,361.4,node,3,510.77
742.27,385.98,node,3,883.74
743.04,416.5,node,3,1812.69
730.99,374.94,node,3,0
724.77,429.82,node,3,0
729.24,406.53,node,3,635.74
720.94,407.67,node,3,0
746.8,370.67,node,3,1631.54
746.39,403.2,node,3,1056.79
756.81,388.05,node,3,0
734.3,356.81,node,3,1611.62
724.94,365.85,node,3,1046
751.44,377.18,node,3,8.41
55.16,22.29,node,4,739.16
61.38,39.2,node,4,1031.85
40.97,5.02,node,4,1459.21
36.44,31.02,node,4,0
40.63,9.19,node,4,0
37.75,6.02,node,4,1279.96
52.12,0,node,4,455.88
62.28,0,node,4,0
60.84,0,node,4,0
32.93,28.39,node,4,0
47.15,13.49,node,4,0
69.75,22.32,node,4,1640.58
46.05,0,node,4,1605.16
51.53,4.15,node,4,856.98
60.5,0,node,4,1877.98
36.45,55.33,node,4,2177.15
68.54,0,node,4,0
39.29,8.32,node,4,0
35.51,24.02,node,4,0
51.31,35.26,node,4,985.32
45.64,24.21,node,4,1228.79
52.79,0,node,4,132.87
25.17,11.36,node,4,327.26
19.26,0,node,4,2615.55
58.1,20.97,node,4,171.34
40.09,10.89,node,4,1814.1
28.77,8.39,node,4,0
61.6,30.19,node,4,1669.78
27.39,4.48,node,4,1961.13
44.98,12.59,node,4,0
27.32,12.65,node,4,586.42
55.5,35.4,node,4,0
29.17,19.03,node,4,0
42.35,0,node,4,358.07
78.51,0,node,4,2578.85
36.43,5.26,node,4,699.98
52.11,12.13,node,4,0
23.32,0,node,4,0
57.44,0,node,4,2624.3
50.77,11.73,node,4,0
62.14,19.94,node,4,1077.36
53,26.31,node,4,708.1
52.54,0,node,4,342.98
41.93,0,node,4,905.36
35.41,29.18,node,4,2010.41
63.26,15.73,node,4,0
47.44,9.91,node,4,0
39.21,17.83,node,4,240.3
25.81,0,node,4,0
57.87,0,node,4,0
59.55,11.59,node,4,0
50.94,6.68,node,4,1595.29
39.7,36.96,node,4,1460.54
41.19,49.01,node,4,0
51.27,10.75,node,4,0
56.45,21.68,node,4,0
22.09,8.08,node,4,2115.53
50.42,0,node,4,0
29.59,1.04,node,4,0
55.87,2.52,node,4,2421.39
32.89,0,node,4,2775.11
19.23,21.4,node,4,1894.36
59.97,0,node,4,1704.14
30.76,11.25,node,4,2784.23
79.61,37.98,node,4,2250.81
41.7,0,node,4,2197.12
76.64,33.7,node,4,1743.41
21.25,0,node,4,2494.5
58.88,7.53,node,4,0
6.63,12,node,4,686.99
72.7,10.48,node,4,1233.71
61.48,0,node,4,166.92
45.73,25.12,node,4,204.64
45.03,9.06,node,4,0
50.25,0,node,4,2567.82
34.33,3.15,node,4,2558.89
31.83,28.19,node,4,1770.55
33.44,8.25,node,4,308.73
68.8,3.26,node,4,0
550.72,599.65,node,5,1035.07
562.38,599.4,node,5,1915.5
547.39,585.75,node,5,341.41
571.22,555.5,node,5,0
580.76,600.62,node,5,214.23
538.56,566.95,node,5,147.35
547.48,612.97,node,5,986.03
567.71,592.26,node,5,1141.12
565.47,615.72,node,5,744.48
560.17,593.22,node,5,2223.68
556.59,593.15,node,5,2587.95
531.47,593.93,node,5,1846.74
597.42,594.24,node,5,2032.09
572.06,590.64,node,5,933.63
585.03,607.13,node,5,1578.44
560.7,590.9,node,5,976.67
554.9,583.88,node,5,239.45
570.36,599.99,node,5,2369
578.71,587.44,node,5,53.62
538.46,566.01,node,5,0
524.55,607.98,node,5,2154.53
561.77,607.07,node,5,1016.32
575.62,586.74,node,5,0
587.15,628.22,node,5,950.69
564.36,592.65,node,5,0
571.3,610.2,node,5,1337.89
582.5,607.55,node,5,1940.69
560.02,601.83,node,5,0
555.75,582.03,node,5,796.6
539.1,574.31,node,5,354.23
555.8,604.64,node,5,0
577.22,598.32,node,5,1221.49
558.22,568.59,node,5,1345.28
558.12,582.8,node,5,1841.72
541.48,579.41,node,5,0
555.45,590.74,node,5,743.5
579.75,630.47,node,5,837.07
569.38,594.56,node,5,1343.53
589.25,605.2,node,5,1297.42
565.69,615.09,node,5,2655.05
537.5,602.46,node,5,0
561.89,610.52,node,5,155.38
549.23,587.62,node,5,1793.45
578.15,601.71,node,5,404.41
549.9,583.28,node,5,0
550.05,601.28,node,5,1310.59
573.67,576.52,node,5,0
571.52,602.46,node,5,1462.97
565.49,599.44,node,5,0
552.16,564.39,node,5,1927.98
551.68,573.99,node,5,1240.55
562.95,569.23,node,5,1719.47
565.58,632.44,node,5,336.41
580.11,611.68,node,5,0
558.7,586,node,5,864.6
539.91,605.8,node,5,1653.48
573.87,609.29,node,5,0
551.92,590.61,node,5,2143.33
538.92,595.96,node,5,1676.94
547.6,574.89,node,5,2328.21
544.02,594.4,node,5,0
565.31,609.78,node,5,936.85
531.65,620.19,node,5,0
547.98,601.48,node,5,2469.87
577.13,582.89,node,5,1116.19
547.2,599.66,node,5,0
543.43,590,node,5,2181.26
547.17,600.49,node,5,2779.08
572.94,612.71,node,5,2610.57
557.04,594.95,node,5,736.07
560.7,595.53,node,5,99.72
558.7,584.53,node,5,474
564.86,587.03,node,5,760.1
561.4,594.95,node,5,606.94
542.29,614.2,node,5,0
564.88,590.76,node,5,1309.64
569.84,579.94,node,5,235.76
591,604.09,node,5,945.58
557.47,613.79,node,5,449.21
