NAME: vrp_morphed_n200_mo75_dyn75_r1.csv
COMMENT: MGBW+ instance set
DIMENSION: 2
N_NODES: 198
N_CLUSTERS: 1
N_DEPOTS: 2
LOWER: 0
UPPER: 400
DATA_SECTION
x1,x2,types,arrival.time
239.29,70.38,depot,0
120.84,312.88,depot,0
191.83,238.42,node,760.97
203.67,227.59,node,73.32
172.52,364.42,node,0
201.94,109.73,node,0
289.54,187.28,node,0
29.99,47.01,node,699.86
138.15,343.21,node,271.56
320.73,161.09,node,656.36
331.49,271.99,node,444.33
90.89,72.43,node,0
124.75,162.88,node,0
338.6,281.63,node,1269.67
322.85,20.86,node,0
117.65,328.41,node,343.51
59.96,116.76,node,0
291.77,156.53,node,1549.73
46.66,117.08,node,0
24.37,34.32,node,0
386.51,206.19,node,1252.56
36.79,287.43,node,818.14
133.71,360.48,node,0
340.21,8.52,node,283.6
241.68,378.97,node,181.78
104.65,116.57,node,39.98
278.83,362.86,node,1027.8
331.59,259.41,node,1268.7
113.11,162.71,node,649.85
199.96,325.82,node,0
273.4,14.56,node,0
251.09,299.95,node,1484.49
258.65,117.69,node,485.36
377.86,302.95,node,0
178.71,237,node,680.85
50.44,106.26,node,1198.46
213.26,318.13,node,0
84.64,49.87,node,343.79
196.5,331.52,node,298.56
136.63,106.55,node,902.6
381.2,279.73,node,0
172.72,369.71,node,0
85.88,46.89,node,396.29
246.95,340.38,node,1033.93
67.06,325.04,node,673.95
376.78,160.71,node,1013.46
217.07,105.95,node,966.5
64.62,82.87,node,169.11
262.8,221.57,node,1482.03
377.22,315.6,node,836.88
279.32,207.24,node,1248.36
179.41,252.46,node,646.09
149.18,276.38,node,0
332.76,208.96,node,701.36
60.13,180.05,node,318.16
74.73,20.73,node,13.91
334.1,15.94,node,0
123.67,368.7,node,157.06
158.9,309.02,node,1076.87
304.8,70.9,node,178.51
84.01,276.55,node,1368.89
18.03,226.91,node,1084.18
184.04,122.41,node,1501.73
197.35,322.77,node,196.47
181.14,239.5,node,87.28
134.49,353.46,node,0
344.26,217.54,node,183.35
193.03,352.49,node,1354.38
217.69,253.69,node,1338.98
372.44,174.99,node,327.98
289.61,365.15,node,0
87.02,291.71,node,0
110.23,149.72,node,307.19
356.66,5.84,node,0
256,218.64,node,0
305.98,195.13,node,1077.02
142.86,350.67,node,234.26
296.7,322.69,node,0
217.74,338.6,node,1491.33
358.41,156.36,node,864.16
83.32,347.18,node,312.06
101.59,68.93,node,1389.22
41.38,107.9,node,1539.11
89.35,282.05,node,569.44
354.5,374.3,node,38.69
140.09,250.33,node,609.94
297.76,207.52,node,796.94
300.45,20.21,node,30.34
56.77,377.99,node,932.77
90.58,56.32,node,55.12
99.05,48.48,node,1465.22
50.86,348.74,node,1249.38
52.24,180.13,node,196.26
385.51,145.17,node,722.42
356.59,348.29,node,46.72
55.82,30.2,node,0
342.82,82.25,node,536.86
230.47,282.91,node,836.47
173.72,77.63,node,0
193.83,102.66,node,914.67
276.28,58.45,node,296.27
45.2,323.54,node,892.19
156.36,49.22,node,0
262.05,326.03,node,1180.28
118.18,128.07,node,240.72
330.5,157.18,node,0
91.82,272.64,node,400.21
209.24,31.45,node,451.15
144.61,6.97,node,0
82.87,387.58,node,130.57
370,225.49,node,982.64
127.42,317.45,node,926.99
199.98,348.9,node,65.08
34.61,310.42,node,0
219.04,383.35,node,371.69
256.47,16.74,node,1031.47
235.98,352.22,node,368.83
125.34,345.56,node,427.91
349.63,284.9,node,0
250.26,126.34,node,0
147.47,15.1,node,351.13
174.17,116.79,node,856.14
64.23,107.94,node,0
318.4,333.46,node,0
370.64,154.55,node,346.32
