NAME: vrp_n400_cl3_dyn75_r1.csv
COMMENT: MGBW+ instance set
DIMENSION: 2
N_NODES: 398
N_CLUSTERS: 3
N_DEPOTS: 2
LOWER: 0
UPPER: 800
DATA_SECTION
x1,x2,types,membership,arrival.time
494.14,610.74,depot,0,0
113.53,321.33,depot,0,0
576.85,150.42,node,1,481.49
606.03,125.2,node,1,1510.2
592.13,136.69,node,1,43.8
629.86,167.72,node,1,622.8
626.98,186.1,node,1,2281.87
604.95,181.27,node,1,10.98
606.16,180.69,node,1,1414.85
584.75,142.52,node,1,0
631.73,191.56,node,1,0
611.08,148.44,node,1,369.66
625.5,153.01,node,1,1048.24
612.22,161.09,node,1,2970.47
635.54,132.52,node,1,2124.44
602.35,168.64,node,1,0
565.44,183.71,node,1,0
597.86,132.98,node,1,0
615.56,204.06,node,1,2209.04
597.35,123.22,node,1,1504.57
609.03,181,node,1,0
605.91,168.63,node,1,98.26
637,118.46,node,1,131.35
624.93,144.41,node,1,1526.81
610.63,204.3,node,1,115.75
617.39,173.2,node,1,2519.6
590.46,164.95,node,1,0
609.24,150.59,node,1,2888.51
624.02,123.01,node,1,1632.06
642.07,205.12,node,1,1114.52
602.36,166.87,node,1,733.69
656.45,136.5,node,1,0
612.94,205.68,node,1,397.14
591.86,176.34,node,1,1744.14
622.19,147.75,node,1,1943.76
619.77,148.42,node,1,2095.03
628.41,144.57,node,1,1453.24
573.82,173.26,node,1,0
636.47,158.04,node,1,0
593.92,145.16,node,1,2693.76
583.36,125.54,node,1,2297.9
636.47,110.99,node,1,1946.76
624.04,147.29,node,1,549.76
583.18,150.58,node,1,592.25
607.82,181.69,node,1,0
663.93,195.15,node,1,2567.08
647.2,190.66,node,1,2594.18
632.06,145.77,node,1,2045.4
615.63,122.44,node,1,2878.66
595.06,136.69,node,1,0
588.28,186.25,node,1,1882.88
622.76,161.36,node,1,2904.63
611.68,177,node,1,2116.73
631.1,136,node,1,2393.36
568.47,130.07,node,1,886.73
601.19,155.55,node,1,1059.72
644.52,169.39,node,1,2571.47
626.78,173.2,node,1,194.4
609.09,132.33,node,1,1819.52
592.46,126.2,node,1,1685.67
583.89,122.73,node,1,0
630.55,129.29,node,1,0
625.34,206.48,node,1,0
607.63,151.63,node,1,1788.98
630.11,155.31,node,1,1734.9
595.36,124.84,node,1,194.12
613.95,146.36,node,1,1569.46
620.43,161.74,node,1,0
640.07,168.64,node,1,1977.78
636.56,157.13,node,1,0
629.61,150.26,node,1,0
608.59,157.24,node,1,613.11
587.85,129.48,node,1,1871.58
605.62,125.23,node,1,52.01
614,172.93,node,1,779.93
592.79,156.75,node,1,2617.88
578.51,175.89,node,1,2207.86
604.18,188.81,node,1,0
612.83,195.95,node,1,2753.17
619.18,151.51,node,1,0
633.87,167.11,node,1,2869.4
599.88,170.85,node,1,1557.64
625.6,163.71,node,1,1436.07
604.19,154.53,node,1,784.55
630.98,180.01,node,1,1980.16
618.38,138.13,node,1,1092.51
628.27,158.87,node,1,0
636.58,120.9,node,1,6.42
595.79,167.17,node,1,2008.11
582.59,215.22,node,1,2726.2
593.45,165.32,node,1,605.28
574.46,203.43,node,1,630.22
627.66,144.48,node,1,0
617.58,140.22,node,1,1088.46
574.64,132,node,1,1684.99
592.16,180.37,node,1,2199.98
622.03,147.59,node,1,2612.05
606.37,178.87,node,1,0
590.15,168.62,node,1,251.92
591.66,171.16,node,1,2675.8
639.18,146.14,node,1,0
621.83,107.8,node,1,2394.03
618.94,162.44,node,1,0
621.15,182,node,1,1691.05
591.25,185.96,node,1,0
591.09,120.17,node,1,0
659.75,173.33,node,1,0
628.48,169.31,node,1,1146.83
607.4,177.49,node,1,0
643.06,121.76,node,1,0
587.14,139.96,node,1,1427.41
623.32,104.8,node,1,2806.68
608.51,124.17,node,1,0
604.44,120.78,node,1,878.83
637.3,149.64,node,1,2033.81
607.7,187.98,node,1,2578.65
593.17,122.09,node,1,1560.73
598.49,141.47,node,1,748.66
619.52,148.78,node,1,768.37
581.32,151.63,node,1,2119.15
624.86,126.5,node,1,1710.19
633.63,170.96,node,1,2673.53
644.46,148.51,node,1,1781.51
621.09,136.69,node,1,1735.23
606.36,132.77,node,1,2804.35
635.24,124.22,node,1,1865.67
625.25,140.8,node,1,1128.64
589.2,187.3,node,1,1206.49
614.24,162.85,node,1,0
616.14,169.77,node,1,2475.58
643.9,156.97,node,1,0
638.39,104.73,node,1,2799.17
625.58,164.79,node,1,0
615.84,158.38,node,1,2177.58
484.22,597.23,node,2,0
517.9,606.7,node,2,1451.69
519.76,602.35,node,2,1031.37
472.17,642.11,node,2,3002.35
492.01,637.14,node,2,0
467.43,618.5,node,2,1897.77
487.3,653.11,node,2,0
522.5,622.89,node,2,1949.67
483.15,632.07,node,2,2534.54
509.79,579.38,node,2,2889.22
519.9,629.33,node,2,1626.82
490.08,660.87,node,2,2067.45
514.8,599.6,node,2,2322.63
514.33,619.62,node,2,0
490.35,540.01,node,2,0
484.79,611.27,node,2,1561.24
509.83,618.39,node,2,2037.74
499.06,643.55,node,2,0
493,587.85,node,2,2490.69
483.23,606.75,node,2,2528.92
481.68,570.31,node,2,1343.05
507.06,627.91,node,2,482.14
478.18,620.2,node,2,3011.68
487.3,604.34,node,2,1316.61
507.24,619.81,node,2,2560.02
481.49,594.87,node,2,0
505.92,589.08,node,2,0
478.87,640.73,node,2,1417.43
497.62,601.12,node,2,2637.36
468.61,626.3,node,2,2096.19
482.14,612.84,node,2,313.82
519.95,605.98,node,2,2309.37
516.5,585.89,node,2,2517.05
455.92,617.84,node,2,419.75
519.95,599.33,node,2,187.56
488.61,630.82,node,2,1927.78
484.29,586.45,node,2,2335.78
476.24,606.99,node,2,0
460.56,628.28,node,2,2885.39
506.59,629.01,node,2,1534.4
527.65,632.15,node,2,1748.94
525.54,603.15,node,2,588.27
519.31,581.47,node,2,2558.94
507.45,646.69,node,2,1203.79
538.75,617.05,node,2,2408.04
510.72,587.36,node,2,1135.04
460.89,610.48,node,2,328.05
500.5,607.87,node,2,0
476.75,584.24,node,2,0
514.55,632.56,node,2,712.49
490.69,647.19,node,2,466.57
494.48,631.93,node,2,1069.38
479.59,623.88,node,2,1345.41
508.46,617.02,node,2,73.23
517.8,607.85,node,2,2335.85
450.65,603.44,node,2,1214.35
510.61,570.11,node,2,0
456.96,611.24,node,2,0
496.76,637.18,node,2,943.9
492.81,621.76,node,2,510.29
500.07,626.89,node,2,2697.97
514.01,581.83,node,2,1882.83
479.32,630.66,node,2,2348.58
447.16,555.05,node,2,924.14
497.1,611.47,node,2,573.68
486.61,629.14,node,2,2673.57
520,632.29,node,2,2367.14
490.32,610.16,node,2,407.88
500.76,564.64,node,2,3008.3
472.37,628.02,node,2,966.63
499.5,582.5,node,2,52.07
522.09,621.36,node,2,2930.84
481.08,610.99,node,2,2194.3
495.59,604.29,node,2,2355.76
490.18,607.53,node,2,1255.39
508.46,632.42,node,2,96.1
506.12,648.6,node,2,0
507.6,617.74,node,2,0
512.37,607.8,node,2,1652.16
510.02,654.22,node,2,1156.62
489.63,633.17,node,2,663.59
494.68,594.53,node,2,1628.21
518.73,620.7,node,2,2142.67
487.28,648.94,node,2,1731.55
453.89,609.38,node,2,1422.12
489.63,607.91,node,2,0
496.77,651.11,node,2,714.76
449.14,633.23,node,2,282.61
477.66,631.17,node,2,342.76
484.44,629.43,node,2,2622.91
489.33,597.51,node,2,1073.85
467.51,589.11,node,2,2351.29
486.28,609.87,node,2,192.72
505.3,609.09,node,2,2740.76
520.87,583.86,node,2,1999.67
506.18,630.62,node,2,0
505.21,607.95,node,2,17.21
483.19,580.18,node,2,1489.32
