NAME: vrp_n400_gm_dyn50_r1.csv
COMMENT: MGBW+ instance set
DIMENSION: 2
N_NODES: 398
N_CLUSTERS: 1
N_DEPOTS: 2
LOWER: 0
UPPER: 800
DATA_SECTION
x1,x2,types,arrival.time
737.77,89.11,depot,0
168.07,567.99,depot,0
527.7,57.83,node,735.4
583.49,661.07,node,469.61
389.46,383.64,node,0
307.57,312.98,node,150.21
5.47,239.3,node,0
2.95,195.45,node,2814.16
795.95,337.45,node,2310.4
86.31,750.22,node,0
334.94,211.59,node,586.86
574.31,454.86,node,1332.42
594.03,161.75,node,0
697.6,154.24,node,2507.49
486.29,574.89,node,2452.54
604.96,250.81,node,1725.58
677.79,110.71,node,1117.35
490.22,46.42,node,80.42
634.58,744.88,node,0
18.28,454.67,node,0
333.53,94.22,node,85.73
699.91,451.84,node,1916.29
517.88,432.2,node,660.45
739.58,655.75,node,548.65
137.78,562.38,node,2526.76
252.65,454.2,node,0
643.41,577.05,node,2603.82
791.17,601.96,node,0
257.91,305.14,node,764.58
0.95,230.41,node,0
793.74,425.35,node,1316.84
118.68,207.72,node,0
39.49,665.43,node,0
477.88,324.29,node,1118.86
257.06,58.11,node,2416.36
422.34,763.01,node,0
636.34,173.75,node,2243.84
55.15,324.5,node,0
556.02,500.53,node,0
758.91,502.72,node,0
222.22,262.59,node,0
199.53,111.13,node,0
127.55,731.73,node,0
57.3,479.29,node,0
445.95,599.69,node,1504.93
391.87,735.16,node,481.2
395.43,423.01,node,1751.93
710.7,297.58,node,1279.03
29.36,52.65,node,0
163,683.5,node,0
411.02,408.33,node,2355.77
189.07,168,node,0
460.35,300.67,node,0
385.81,165.89,node,0
455.48,367.39,node,2213.92
115.32,193.2,node,0
116.57,94.95,node,1675.38
329.83,57.98,node,0
546.41,552.79,node,2562.61
522.74,229.57,node,0
732.79,119.53,node,0
650.49,777.95,node,0
540.71,328.41,node,0
646,321.45,node,637.83
102.45,518.85,node,0
200.62,733.04,node,0
265.24,173.33,node,2640.14
325.82,438.4,node,1619.03
508.29,576.04,node,2423.06
646.89,317.8,node,0
207.04,75.2,node,2112.75
655.57,507.92,node,0
12.38,1.98,node,1469.89
523.52,168.42,node,0
649.38,543.22,node,0
369.1,692.95,node,746.07
162.73,639.76,node,0
15.01,108,node,1177.74
226.51,310,node,0
732.22,630.78,node,0
746.96,554.33,node,567.94
434.03,475.42,node,0
175.54,99.09,node,0
391.54,444.06,node,669.28
640.92,359.53,node,2537.52
326.1,612.93,node,0
82.97,20.88,node,0
224.45,156.14,node,0
289.17,704.99,node,2163.85
207.4,87.84,node,0
376.55,774.84,node,0
292.68,308.16,node,1057.49
97.02,686.87,node,0
37.59,709.91,node,0
210.24,391.27,node,0
774.91,574.47,node,0
390.8,389.36,node,824.84
382.26,790.97,node,0
599.03,51.8,node,613.24
534.11,126.13,node,0
39.53,628.28,node,0
556.08,433.75,node,0
290.61,333.24,node,0
707.31,799.11,node,1910.23
620.24,204.54,node,1612.38
111.36,406.3,node,0
236.01,63.18,node,591.67
100.87,650.93,node,1116.21
471.92,305.74,node,901.7
449.34,641.75,node,609.65
550.98,158.34,node,0
249.02,757.12,node,0
484.47,276.54,node,0
792.83,417.64,node,0
594.56,89.35,node,1223.56
60.69,708.78,node,0
360.94,763.4,node,0
42.83,32.3,node,1627.55
271.64,394.89,node,383.24
587.16,180.85,node,1304.48
3.29,687.04,node,0
617.53,424.75,node,545.33
370.38,3.71,node,0
576.67,222.05,node,2076.21
533.2,260.16,node,420.17
457.66,470.97,node,344.45
563.05,199.75,node,0
525.78,34.49,node,1315.18
231.48,88.54,node,0
77.79,563,node,0
769.94,751.22,node,835.66
589.07,248.94,node,0
490.18,62.79,node,306.75
95.94,257.4,node,0
440.21,499.92,node,1367.36
210.21,352.19,node,683.74
718.69,641.08,node,0
7.34,223.43,node,1394.67
188.99,456.57,node,0
104.04,33.7,node,2342.52
260.99,152.57,node,0
581.12,581.67,node,1533.04
793.4,661.35,node,1772.58
572.11,408.58,node,0
403.55,454.18,node,0
348.84,0.92,node,2584.75
759.06,115.02,node,1264.23
96.15,692.77,node,1128.98
60.12,66.05,node,2494.85
711.22,195.66,node,0
339.56,785.23,node,65.2
33.89,462.07,node,0
517.95,198.98,node,0
374.9,491.96,node,0
494.34,25.41,node,734.61
216.65,117.14,node,0
125.84,562.46,node,0
91.4,52.45,node,0
406.15,497.45,node,0
438.43,749.86,node,0
112.52,70.32,node,1520.13
135.82,778.24,node,0
609.59,20.81,node,1635.11
421.92,580.18,node,0
688.79,362.97,node,0
538.84,452.95,node,0
10.43,698.18,node,0
554.56,443.65,node,1352.48
713.37,590.12,node,1386.15
505.48,498.5,node,2364.52
85.84,248.82,node,621.48
736.85,313.76,node,0
540.29,161.67,node,2199.3
118.87,682.22,node,0
596.27,485.46,node,0
754.08,604.88,node,0
336.63,450.01,node,1123.58
238.18,220.72,node,671.8
207.54,588.45,node,0
178.31,439.42,node,983.46
452.52,276.9,node,0
605.32,411.97,node,0
535.68,652.61,node,0
437.22,421.02,node,2778.32
649.17,162.43,node,228.8
607.33,678.49,node,210.95
16.05,296.4,node,0
304.72,242.66,node,0
40.7,616.48,node,2616.45
638.32,586.76,node,576.62
738.96,671.12,node,1444.02
434.08,455.24,node,438.83
681.89,21.02,node,0
466.85,388.9,node,0
534.66,434.14,node,0
409.05,669.33,node,486.99
610.2,582.93,node,0
722.69,444.09,node,1425.32
656.38,58.73,node,102.49
57.15,109.2,node,0
3.12,547.69,node,0
41.76,79.7,node,962.28
693.25,163.03,node,860.22
461,292.78,node,1333.55
251.07,676.96,node,1743.32
767.57,189.5,node,0
472.96,563.9,node,0
425.13,86.09,node,0
307.15,623.26,node,0
255.64,204.08,node,201.38
646.71,438.43,node,2409.68
33.54,27.12,node,0
290.99,644.89,node,0
685.28,270.2,node,1790.91
558.36,733.03,node,0
547.59,285.69,node,0
278.41,780.29,node,2492.18
443.75,307.5,node,0
109.79,390.94,node,0
627.95,392.62,node,0
709.49,9.8,node,1602.38
163.28,513.18,node,0
616.5,410.06,node,983.03
477.09,256.28,node,0
766.14,465.15,node,0
126.95,493.88,node,0
420.78,350.62,node,0
698.52,136.3,node,2622.16
695.76,572.06,node,0
18.95,598.23,node,1862.21
780.71,675.13,node,0
392.18,427.81,node,2509.76
311.34,241.79,node,0
334.04,365.21,node,0
74.34,307.47,node,0
129.45,199.24,node,0
324.33,523.7,node,0
273.45,764.26,node,1719.88
332.21,232.87,node,2687.94
243.24,520.15,node,1101.25
448.22,429.09,node,0
124.7,477.96,node,0
765.26,19.92,node,0
35.17,3.87,node,339.76
297.73,105.1,node,0
770.09,19.85,node,1910.06
516.34,73.7,node,1797.55
49.01,380.45,node,0
327.96,157.33,node,0
340.72,651.74,node,1827.22
406.53,195.25,node,0
359.68,391.05,node,0
498.61,519.11,node,164.26
111.98,126.97,node,0
726.36,669.58,node,0
455.55,349.28,node,329.15
438.62,186.8,node,0
93.46,239.08,node,678.9
609.62,127.54,node,532.03
382.7,468.45,node,0
625.58,119.02,node,1631.32
36.82,143.25,node,163.49
655.88,271.38,node,742.69
215.53,147.12,node,1805.76
226.28,324.43,node,1870.97
514.58,490.85,node,0
758.5,548.54,node,26.25
5.6,658.82,node,2569.18
281.29,299.19,node,1664.75
335.24,762.27,node,1413.48
366.3,15.07,node,80.65
569.35,489.9,node,0
735.88,370.86,node,0
501.69,283.78,node,0
721.75,705.94,node,0
605.86,60.64,node,0
110.29,706.63,node,2072.1
122.6,150.58,node,2493.11
153.05,172.05,node,1213.72
346.55,695.63,node,1115.78
69.78,48.67,node,1823.96
179.02,187.92,node,0
457.72,794.41,node,0
320.14,542.56,node,282.18
452.37,348.39,node,1427.64
663.7,301.85,node,0
513.69,368.95,node,0
313.2,641.48,node,1150.56
567.66,530.37,node,2146.1
87.06,372.8,node,1155.93
218.9,42.61,node,550.1
475.09,189.76,node,0
128.15,186.59,node,0
682.74,184.52,node,0
678.19,49.38,node,1928.97
382.31,397.69,node,0
618.95,195.3,node,2408.84
236.32,606.55,node,0
52.5,437.84,node,2240.28
352.43,758.45,node,1192.96
369.68,68.94,node,0
272.75,758.31,node,1047.31
148.11,577.92,node,2700.64
405.6,737.6,node,0
15.35,491.07,node,0
618.95,128.77,node,0
447.73,146.35,node,0
513.17,584.15,node,1101.89
374.75,471.62,node,0
223.38,249.99,node,0
368.97,618.24,node,1636.18
634.19,269.04,node,0
468.45,684.54,node,0
315.81,464.42,node,329.34
648.99,332.58,node,980.12
254.85,746.06,node,705.18
465.16,370.16,node,2720.45
364.39,79.48,node,0
215.04,372.36,node,1757.58
444.14,787.27,node,1503.33
184.98,740.22,node,0
434.59,348.32,node,752.76
358.06,695.78,node,2056.9
104.23,240.28,node,2274.06
497.38,638.38,node,0
438.4,640.41,node,670.26
119.4,309.54,node,0
447.64,305.27,node,1311.68
341.51,516.41,node,1856.84
358.18,689.33,node,1459.48
666.64,525.31,node,0
575.67,413.06,node,0
365.51,119.03,node,0
417.01,490.21,node,726.03
193.97,33.57,node,2571.04
60.69,398.69,node,1642.51
313.04,591.61,node,0
10.49,603.12,node,2618.86
694,50.47,node,0
794.09,353.99,node,2682
567.08,400.54,node,227.74
661.37,216.19,node,199.41
713.52,479.04,node,1895.65
431.53,588.67,node,0
444.25,570.86,node,0
221.15,93.19,node,2632.87
527.36,460.1,node,2192.61
194.75,638.51,node,0
230.61,185.46,node,0
572.62,579.88,node,0
582.03,670.42,node,0
138.43,95.07,node,49.9
245.05,767.16,node,0
295.93,598.21,node,0
62.18,648.71,node,1710.84
570.52,151.93,node,0
440.74,20.78,node,839.76
108.69,691.03,node,0
779.33,735.34,node,2440.12
449.57,110.1,node,0
630.73,382.12,node,2069.77
679.13,370.37,node,0
702.43,560.14,node,0
640.38,52.46,node,1606.94
512.12,586.43,node,0
503.14,316.75,node,759.33
217.13,369.19,node,0
23.95,580.24,node,2435.68
335.89,376,node,0
284.35,799.62,node,0
313.87,676.75,node,0
137.55,662.57,node,469.13
255.71,609.32,node,1832.69
330.84,89.69,node,2530
607.47,671.18,node,0
217.51,651.08,node,1208.44
92.47,793.13,node,2322.05
23.47,38.65,node,25.56
645.48,597.43,node,0
384.1,335.45,node,1146.68
645,465.72,node,0
63.2,664.59,node,0
92.27,10.82,node,11.84
103.53,9.22,node,2434.01
591,797.16,node,0
605.68,612.55,node,1579.04
793.96,251.73,node,84.5
499.64,649.61,node,616.6
230.95,792.98,node,1830.12
159.93,160.61,node,2612.64
640.73,516.83,node,1027.58
582.21,350.04,node,62.24
173.64,750.42,node,2593.91
595.39,790.4,node,988.88
693.32,365.06,node,0
423.52,184.49,node,1823.45
478.91,556.39,node,369.29
750.11,445.31,node,0
760.58,467.77,node,0
528.43,346.9,node,0
