NAME: vrp_n50_gm_dyn75_r2.csv
COMMENT: MGBW+ instance set
DIMENSION: 2
N_NODES: 48
N_CLUSTERS: 1
N_DEPOTS: 2
LOWER: 0
UPPER: 100
DATA_SECTION
x1,x2,types,arrival.time
30,66.64,depot,0
74.43,47.72,depot,0
28.76,26.6,node,0
78.83,85.78,node,52.42
40.9,4.58,node,35.17
88.3,44.22,node,334.94
94.05,79.89,node,183.85
4.56,12.19,node,193.81
52.81,56.09,node,357.68
89.24,20.65,node,298.5
55.14,12.75,node,42.24
45.66,75.33,node,0
95.68,89.5,node,0
45.33,37.45,node,50.09
67.76,66.51,node,0
57.26,9.48,node,63.85
10.29,38.4,node,130.69
89.98,27.44,node,43.89
24.61,81.46,node,347.41
4.21,44.85,node,309.8
32.79,81.01,node,43.05
95.45,81.24,node,366.18
88.95,79.43,node,0
69.28,43.98,node,255.88
64.05,75.45,node,86.63
99.43,62.92,node,157.08
65.57,71.02,node,178.59
70.85,0.06,node,62.21
54.41,47.53,node,59.9
59.41,22.01,node,285.4
28.92,37.98,node,9.19
14.71,61.28,node,0
96.3,35.18,node,0
90.23,11.11,node,0
69.07,24.36,node,0
79.55,66.81,node,22.42
2.46,41.76,node,276.73
47.78,78.82,node,279.08
75.85,10.29,node,93.65
21.64,43.49,node,0
31.82,98.5,node,196.77
23.16,89.31,node,293.61
14.28,88.65,node,0
41.45,17.51,node,101.46
41.37,13.07,node,129.87
36.88,65.31,node,217.78
15.24,34.35,node,300.25
13.88,65.68,node,48.08
23.3,32.04,node,65.43
46.6,18.77,node,0
